category,shape,variant,time_ms,speedup_vs_naive
conv,"LeNet conv1 (N=1, 1->10, 5x5 @ 28x28)",naive,0.003082,1.0000
conv,"LeNet conv1 (N=1, 1->10, 5x5 @ 28x28)",tiled,0.003077,1.0017
conv,"LeNet conv1 (N=1, 1->10, 5x5 @ 28x28)",cudnn,0.087455,0.0352
conv,"LeNet conv2 (N=1, 10->20, 5x5 @ 12x12)",naive,0.012262,1.0000
conv,"LeNet conv2 (N=1, 10->20, 5x5 @ 12x12)",tiled,0.013972,0.8776
conv,"LeNet conv2 (N=1, 10->20, 5x5 @ 12x12)",cudnn,0.084828,0.1446
conv,"batch-64 conv1 (N=64, 1->10, 5x5 @ 28x28)",naive,0.008438,1.0000
conv,"batch-64 conv1 (N=64, 1->10, 5x5 @ 28x28)",tiled,0.010106,0.8349
conv,"batch-64 conv1 (N=64, 1->10, 5x5 @ 28x28)",cudnn,0.076759,0.1099
conv,"batch-64 conv2 (N=64, 10->20, 5x5 @ 12x12)",naive,0.028728,1.0000
conv,"batch-64 conv2 (N=64, 10->20, 5x5 @ 12x12)",tiled,0.033265,0.8636
conv,"batch-64 conv2 (N=64, 10->20, 5x5 @ 12x12)",cudnn,0.066999,0.4288
conv,"large synth (N=1, 32->64, 5x5 @ 64x64)",naive,0.098806,1.0000
conv,"large synth (N=1, 32->64, 5x5 @ 64x64)",tiled,0.119895,0.8241
conv,"large synth (N=1, 32->64, 5x5 @ 64x64)",cudnn,0.081504,1.2123
lin,"LeNet fc1 (N=1, 320->50)",naive,0.010747,1.0000
lin,"LeNet fc1 (N=1, 320->50)",tiled,0.010152,1.0585
lin,"LeNet fc2 (N=1, 50->10)",naive,0.003098,1.0000
lin,"LeNet fc2 (N=1, 50->10)",tiled,0.003077,1.0067
lin,"batch-64 fc1 (N=64, 320->50)",naive,0.037535,1.0000
lin,"batch-64 fc1 (N=64, 320->50)",tiled,0.010399,3.6096
lin,"large synth (N=1024, 1024->1024)",naive,3.425628,1.0000
lin,"large synth (N=1024, 1024->1024)",tiled,0.532255,6.4361
sweep,"sweep N=1 (1024->1024)",naive,0.105226,1.0000
sweep,"sweep N=1 (1024->1024)",tiled,0.027873,3.7752
sweep,"sweep N=4 (1024->1024)",naive,0.105544,1.0000
sweep,"sweep N=4 (1024->1024)",tiled,0.028006,3.7686
sweep,"sweep N=16 (1024->1024)",naive,0.105892,1.0000
sweep,"sweep N=16 (1024->1024)",tiled,0.028150,3.7617
sweep,"sweep N=64 (1024->1024)",naive,0.210637,1.0000
sweep,"sweep N=64 (1024->1024)",tiled,0.041961,5.0198
sweep,"sweep N=256 (1024->1024)",naive,0.851343,1.0000
sweep,"sweep N=256 (1024->1024)",tiled,0.140420,6.0629
sweep,"sweep N=1024 (1024->1024)",naive,3.422884,1.0000
sweep,"sweep N=1024 (1024->1024)",tiled,0.532255,6.4309
fused,"LeNet conv1 stage (N=1, 1->10, 5x5 @ 28x28)",naive,0.009067,1.0000
fused,"LeNet conv1 stage (N=1, 1->10, 5x5 @ 28x28)",tiled,0.008852,1.0242
fused,"LeNet conv1 stage (N=1, 1->10, 5x5 @ 28x28)",fused,0.005146,1.7621
fused,"LeNet conv2 stage (N=1, 10->20, 5x5 @ 12x12)",naive,0.014479,1.0000
fused,"LeNet conv2 stage (N=1, 10->20, 5x5 @ 12x12)",tiled,0.016102,0.8992
fused,"LeNet conv2 stage (N=1, 10->20, 5x5 @ 12x12)",fused,0.036296,0.3989
fused,"batch-64 conv1 stage (N=64, 1->10, 5x5 @ 28x28)",naive,0.012360,1.0000
fused,"batch-64 conv1 stage (N=64, 1->10, 5x5 @ 28x28)",tiled,0.013911,0.8885
fused,"batch-64 conv1 stage (N=64, 1->10, 5x5 @ 28x28)",fused,0.013265,0.9317
fused,"batch-64 conv2 stage (N=64, 10->20, 5x5 @ 12x12)",naive,0.031370,1.0000
fused,"batch-64 conv2 stage (N=64, 10->20, 5x5 @ 12x12)",tiled,0.035543,0.8826
fused,"batch-64 conv2 stage (N=64, 10->20, 5x5 @ 12x12)",fused,0.042138,0.7445
fwd,"end-to-end forward (N=1)",naive,0.175127,1.0000
fwd,"end-to-end forward (N=1)",tiled,0.172947,1.0126
fwd,"end-to-end forward (N=64)",naive,0.559826,1.0000
fwd,"end-to-end forward (N=64)",tiled,0.429143,1.3045
